time,chat
26,?
26,??
26,취집하시게요......?
26,??
26,그뭔...
26,망상 에반데
26,?!?!!?!??!?!!
26,makiyFuku makiyFuku makiyFuku
26,ㅋㅋ
26,ㅋㅋㅋㅋㅋㅋㅋㅋ
26,ㅋㄱㅋㅋㅋㅋ
27,방송은 열심히하시는데 지각을 너무하시잖아요
27,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
27,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
27,재벌 아니면 불가능
27,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
27,ㅋㅋㅋ
27,어디서 많이 본 카드가 저기서 긁히고 있다.. 그렇다 그 남자는 소매치기였다
27,지금 화면에 띄어저 있는 캐릭터 막이님 현실 반영 10000%네;;;
27,BBBBB
27,그건 드라마
27,드라마 꺼
27,는 없지
27,드라마
27,그건 드라마
27,요즘 드라마보니?
27,너무 드라마
27,드라마 너무보신듯
27,망상 ㄴ
27,는 드라마
27,드라마
27,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
27,고소
27,우우
27,고소
27,망상 ㄴ
27,우욱
27,드라마좀 그만봐
27,차로쳐싼
27,둘다 제정신이아니내..
27,라느내용의 드라마찾음
27,그 제벌이 왜 막이님 만나요?
27,반제보다 판타진데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
27,망상증 on!
27,현실: 폭행으로 고소
27,차로쳤나 머리가 다쳤네
27,ㅋㅋㅋㅋㅋㅋ
27,둘다 정신병자지 그건
27,ㅋㅋ
27,풉 ㅋ
27,경찰메일날라온다
27,앗
27,풉ㅋ
28,ㅋㅋㅋㅋㅋ 망상 on
28,저는 제 주식이 30만 되는 망상만 해요
28,편안
28,풉ㅋ
28,그걸 지켜보는 -쫀-
28,그 제벌남자 상대가 준석님이면
28,이거 위험한거 아니냐
28,그걸 지켜보는 ㅋㅋㅋㅋㅋㅋㅋ
28,ㅋㅋㅋㅋ
28,ㅋㄴㄴㄴㄴㄴ
28,ㅋㅋ
28,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
28,ㅋㅋㅋㅋㅋㅋㅋㅋ
28,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
28,makiyFuku
28,어서 병원을 가보세요!
28,16?
28,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
28,그걸 사는 흑우가있을까요?
28,요즘 많이 힘들구나..
28,그 번호 자기가 매번 다 풀었지 않음?
